Row Labels,Count of Name
ARTS,599
DANCE,5
DANCER,5
DESIGN,23
ARCHITECT,14
COMIC ARTIST,1
DESIGNER,3
FASHION DESIGNER,5
FILM AND THEATRE,359
ACTOR,295
COMEDIAN,2
FILM DIRECTOR,62
FINE ARTS,45
ARTIST,14
PAINTER,24
PHOTOGRAPHER,4
SCULPTOR,3
MUSIC,167
COMPOSER,48
CONDUCTOR,4
MUSICIAN,59
SINGER,56
BUSINESS & LAW,24
BUSINESS,23
BUSINESSPERSON,20
PRODUCER,3
LAW,1
LAWYER,1
EXPLORATION,2
EXPLORERS,2
ASTRONAUT,2
HUMANITIES,147
LANGUAGE,145
CRITIC,1
JOURNALIST,3
LINGUIST,1
WRITER,140
PHILOSOPHY,2
PHILOSOPHER,2
INSTITUTIONS,258
GOVERNMENT,247
DIPLOMAT,11
JUDGE,2
POLITICIAN,234
MILITARY,7
MILITARY PERSONNEL,5
PILOT,2
RELIGION,4
RELIGIOUS FIGURE,4
PUBLIC FIGURE,33
ACTIVISM,7
SOCIAL ACTIVIST,7
COMPANIONS,4
COMPANION,4
MEDIA PERSONALITY,15
CELEBRITY,3
CHEF,1
MAGICIAN,1
MODEL,1
PRESENTER,9
OUTLAWS,7
EXTREMIST,7
SCIENCE & TECHNOLOGY,38
COMPUTER SCIENCE,2
COMPUTER SCIENTIST,2
INVENTION,2
INVENTOR,2
MEDICINE,3
PHYSICIAN,3
NATURAL SCIENCES,12
BIOLOGIST,5
PHYSICIST,7
SOCIAL SCIENCES,19
ANTHROPOLOGIST,1
ECONOMIST,12
POLITICAL SCIENTIST,2
PSYCHOLOGIST,4
SPORTS,123
INDIVIDUAL SPORTS,83
ATHLETE,9
BOXER,7
CHESSMASTER,5
CYCLIST,4
GOLFER,1
MOUNTAINEER,1
RACECAR DRIVER,2
SKIER,3
SWIMMER,3
TENNIS PLAYER,48
TEAM SPORTS,40
BASEBALL PLAYER,4
BASKETBALL PLAYER,29
HOCKEY PLAYER,2
SOCCER PLAYER,5
(blank),
(blank),
(blank),
Grand Total,1224
